symbol,name
RELIANCE,Reliance Industries Ltd
TCS,Tata Consultancy Services Ltd
HDFCBANK,HDFC Bank Ltd
INFY,Infosys Ltd
ICICIBANK,ICICI Bank Ltd
HINDUNILVR,Hindustan Unilever Ltd
SBIN,State Bank of India
BHARTIARTL,Bharti Airtel Ltd
ITC,ITC Ltd
KOTAKBANK,Kotak Mahindra Bank Ltd
LT,Larsen & Toubro Ltd
AXISBANK,Axis Bank Ltd
ASIANPAINT,Asian Paints Ltd
MARUTI,Maruti Suzuki India Ltd
SUNPHARMA,Sun Pharmaceutical Industries Ltd
TITAN,Titan Company Ltd
ULTRACEMCO,UltraTech Cement Ltd
BAJFINANCE,Bajaj Finance Ltd
NESTLEIND,Nestle India Ltd
WIPRO,Wipro Ltd
HCLTECH,HCL Technologies Ltd
POWERGRID,Power Grid Corporation of India Ltd
NTPC,NTPC Ltd
TATASTEEL,Tata Steel Ltd
JSWSTEEL,JSW Steel Ltd
ONGC,Oil & Natural Gas Corporation Ltd
COALINDIA,Coal India Ltd
GRASIM,Grasim Industries Ltd
ADANIENT,Adani Enterprises Ltd
ADANIPORTS,Adani Ports & SEZ Ltd
BAJAJFINSV,Bajaj Finserv Ltd
BAJAJ-AUTO,Bajaj Auto Ltd
HEROMOTOCO,Hero MotoCorp Ltd
EICHERMOT,Eicher Motors Ltd
DRREDDY,Dr Reddys Laboratories Ltd
CIPLA,Cipla Ltd
DIVISLAB,Divis Laboratories Ltd
APOLLOHOSP,Apollo Hospitals Enterprise Ltd
BRITANNIA,Britannia Industries Ltd
TATACONSUM,Tata Consumer Products Ltd
INDUSINDBK,IndusInd Bank Ltd
SBILIFE,SBI Life Insurance Company Ltd
HDFCLIFE,HDFC Life Insurance Company Ltd
TECHM,Tech Mahindra Ltd
SHRIRAMFIN,Shriram Finance Ltd
UPL,UPL Ltd
BPCL,Bharat Petroleum Corporation Ltd
IOC,Indian Oil Corporation Ltd
GAIL,GAIL India Ltd
VEDL,Vedanta Ltd
HINDALCO,Hindalco Industries Ltd
DABUR,Dabur India Ltd
GODREJCP,Godrej Consumer Products Ltd
MARICO,Marico Ltd
PIDILITIND,Pidilite Industries Ltd
SIEMENS,Siemens Ltd
DLF,DLF Ltd
AMBUJACEM,Ambuja Cements Ltd
SHREECEM,Shree Cement Ltd
